Species,2005L2-85,2005L2-77,2005L2-84,2005L2-82,2005L2-81,2005L2-80,2005L2-83,2005L2-76
Trichoderma unidentified,21,16,6,15,22,13,23,22
Aspergillus Aspergillus_bisporus,22,15,17,14,14,11,27,15
Xenodidymella Xenodidymella_applanata,15,16,19,4,16,18,27,17
Wallrothiella Wallrothiella_subiculosa,29,9,16,10,9,12,24,12
Metarhizium Metarhizium_minus,16,26,4,18,19,5,5,27
Coprinopsis Coprinopsis_pachyderma,12,14,6,14,17,13,34,10
Phanerochaete Phanerochaete_xerophila,26,10,17,8,6,10,19,21
Protoparmelia Protoparmelia_isidiata,22,4,12,4,18,22,19,14
Plectosphaerella Plectosphaerella_oratosquillae,17,19,6,15,12,9,26,9
Mortierella Mortierella_ambigua,7,28,5,9,21,12,6,22
Cladorrhinum Cladorrhinum_flexuosum,5,13,5,17,8,8,49,5
Talaromyces Talaromyces_brunneus,6,19,8,16,21,10,3,24
Paecilomyces Paecilomyces_verrucosus,16,10,7,9,16,18,14,16
Apiotrichum Apiotrichum_sp,8,16,3,16,34,2,0,26
Fusarium Fusarium_neocosmosporiellum,12,14,5,13,7,16,24,14
Lactarius Lactarius_saponaceus,17,0,82,1,2,0,0,0
Wallemia Wallemia_hederae,27,4,11,18,5,4,28,2
Acrostalagmus Acrostalagmus_luteoalbus,18,14,8,18,5,11,16,8
Acremonium Acremonium_stromaticum,21,6,10,7,8,13,19,11
Neostrelitziana Neostrelitziana_acaciigena,18,10,9,6,9,13,11,14
Talaromyces Talaromyces_derxii,14,12,8,14,9,9,13,10
Corallomycetella Corallomycetella_repens,18,6,13,15,4,7,21,3
Thielaviopsis Thielaviopsis_cerberus,15,6,11,9,10,7,16,13
Acanthocorticium Acanthocorticium_brueggemannii,11,9,8,16,10,10,15,7
Idriella Idriella_lunata,6,6,11,6,7,8,27,13
Phialophora Phialophora_cyclaminis,20,5,8,13,6,8,20,4
Didymella Didymella_rumicicola,11,12,11,10,10,6,12,12
Penicillium Penicillium_melinii,9,12,10,9,7,10,11,15
Kazachstania Kazachstania_naganishii,14,6,11,9,11,11,9,12
Boeremia Boeremia_noackiana,11,4,5,12,13,9,11,17
Trichoderma Trichoderma_longipilis,9,8,8,15,13,8,5,15
Staphylotrichum unidentified,6,13,4,17,17,4,5,13
Buglossoporus unidentified,11,7,14,4,6,9,13,13
Calophoma Calophoma_complanata,17,8,9,8,6,4,9,16
Clonostachys Clonostachys_rosea,8,12,5,9,2,8,23,9
Talaromyces Talaromyces_stollii,15,11,13,5,5,6,8,12
Fusarium Fusarium_nematophilum,14,4,6,4,5,8,20,14
Malassezia Malassezia_globosa,28,1,5,6,9,7,5,12
Trichoderma Trichoderma_spirale,7,15,3,12,15,8,5,7
Neobambusicola Neobambusicola_strelitziae,12,6,12,5,8,4,6,19
Cryptococcus Cryptococcus_gattii,15,5,14,10,3,9,10,4
Sagenomella Sagenomella_oligospora,5,9,1,18,19,5,0,13
Macgarvieomyces Macgarvieomyces_borealis,17,8,9,6,1,5,16,8
Metarhizium Metarhizium_marquandii,8,11,7,9,17,2,1,14
Schaereria Schaereria_fuscocinerea,6,13,12,6,7,10,10,4
Arachnotheca Arachnotheca_glomerata,12,18,6,10,9,2,2,9
Jimtrappea Jimtrappea_guyanensis,12,5,13,5,8,6,7,12
Staphylotrichum Staphylotrichum_boninense,1,11,7,10,19,3,0,14
Bionectria Bionectria_wenpingii,6,8,7,17,5,8,12,1
Xenoseptoria Xenoseptoria_neosaccardoi,9,6,14,9,3,4,6,11
Cosmospora unidentified,9,7,1,4,10,19,3,9
Peniophora Peniophora_incarnata,18,3,5,7,5,8,12,4
Didymella Didymella_microchlamydospora,14,5,10,5,4,8,7,7
Penicillium Penicillium_atrolazulinum,13,5,4,4,7,5,7,10
Pannaria Pannaria_multifida,9,4,4,5,6,10,11,6
Nigrospora Nigrospora_oryzae,24,0,10,0,0,7,0,13
Talaromyces Talaromyces_minioluteus,8,3,3,5,9,8,9,8
Corynespora Corynespora_torulosa,28,0,14,0,1,5,0,5
Thermoascus Thermoascus_aurantiacus,6,1,9,5,4,8,11,8
Dactylonectria Dactylonectria_anthuriicola,11,6,3,3,1,11,9,7
unidentified Ceratobasidiaceae_sp,4,8,6,2,7,5,8,9
Apiotrichum Apiotrichum_scarabaeorum,13,1,9,4,0,6,14,2
Talaromyces Talaromyces_euchlorocarpius,8,8,9,1,4,1,8,9
Ceriporia Ceriporia_excelsa,12,1,8,1,3,7,5,11
Cladosporium Cladosporium_dominicanum,4,2,10,23,2,0,7,0
Leucoagaricus Leucoagaricus_viridiflavus,5,14,3,6,7,4,1,8
Wickerhamomyces Wickerhamomyces_pijperi,1,4,0,0,1,41,0,0
Plectosphaerella Plectosphaerella_cucumerina,14,1,7,0,1,19,1,4
Plenodomus Plenodomus_visci,3,5,4,6,9,7,6,5
Paecilomyces unidentified,9,9,2,8,7,3,2,5
Antrodia Antrodia_mappa,7,1,4,4,5,3,12,8
Volutella unidentified,0,0,0,0,0,44,0,0
Octaviania Octaviania_tasmanica,8,2,6,4,8,4,4,7
Acrocalymma Acrocalymma_fici,2,7,5,8,3,6,10,2
Parmelinella Parmelinella_wallichiana,8,5,7,4,3,3,5,7
Psathyrella Psathyrella_umbrina,4,5,11,5,4,4,4,5
Xenodidymella Xenodidymella_asphodeli,2,2,8,9,9,0,4,7
Trichoderma Trichoderma_inhamatum,4,8,1,14,6,1,0,6
Malassezia Malassezia_obtusa,8,6,2,3,5,4,6,6
Trichocoma Trichocoma_paradoxa,11,6,2,1,4,2,7,7
Sarocladium Sarocladium_implicatum,0,0,1,0,0,0,0,38
Candelaria Candelaria_concolor,6,14,2,3,0,7,1,6
Trichoderma Trichoderma_crassum,3,5,4,6,9,3,1,7
Peltula Peltula_auriculata,7,1,5,4,6,3,5,6
Rhodocybe Rhodocybe_gemina,4,5,4,4,4,4,3,6
Ganoderma Ganoderma_ramosissimum,3,4,8,6,3,1,1,8
Tricholoma Tricholoma_japonicum,7,4,4,4,1,3,7,4
Acremonium Acremonium_nepalense,7,4,4,3,2,2,9,2
Spiromastix unidentified,4,6,4,4,4,2,5,4
Paraboeremia Paraboeremia_selaginellae,2,8,0,3,3,3,6,6
Meira Meira_argovae,1,0,1,22,2,0,4,1
Didymella Didymella_calidophila,5,4,2,4,3,5,6,2
Coprinus Coprinus_pinetorum,7,6,0,1,3,3,0,11
Vanderwaltozyma Vanderwaltozyma_polyspora,5,3,4,5,2,2,2,8
Verrucoconiothyrium Verrucoconiothyrium_nitidae,7,1,2,2,7,3,5,4
Tyromyces Tyromyces_chioneus,3,2,7,4,2,4,4,5
Spencermartinsiella unidentified,3,2,3,2,8,2,0,10
Trichoglossum Trichoglossum_walteri,3,2,5,1,3,3,5,8
Sowerbyella Sowerbyella_rhenana,4,3,3,3,5,5,4,3
Filobasidium Filobasidium_magnum,1,2,0,4,2,5,9,7
Russula Russula_siamensis,1,6,3,1,9,2,0,8
Ceratocystis Ceratocystis_radicicola,6,7,1,4,2,0,6,4
Gongronella unidentified,2,7,1,5,6,3,0,5
Microascus Microascus_trigonosporus,1,12,0,0,0,3,0,13
Inaequalispora Inaequalispora_prestonii,3,7,3,2,3,6,3,1
Aspergillus Aspergillus_steynii,6,3,2,5,3,1,7,0
Inocybe Inocybe_obscurobadia,2,4,5,1,0,5,9,1
Boletus Boletus_kauffmanii,3,3,4,4,3,1,3,6
Diploschistes Diploschistes_diacapsis,7,2,2,4,2,3,3,4
Mycena Mycena_laevigata,1,4,3,3,4,4,6,2
Chrysosporium Chrysosporium_pilosum,2,2,7,2,2,2,7,3
Cordyceps Cordyceps_bassiana,3,9,3,7,1,1,3,0
Fusarium Fusarium_albosuccineum,6,2,3,4,2,3,4,3
Acremonium Acremonium_alcalophilum,1,4,4,5,2,2,4,5
Acremonium Acremonium_polychromum,5,1,0,1,2,6,5,7
Diaporthe Diaporthe_eucalyptorum,1,5,3,3,3,1,5,6
Cordana Cordana_terrestris,4,4,1,0,8,2,6,2
Epicoccum Epicoccum_henningsii,3,2,6,6,3,2,2,3
Allophoma Allophoma_piperis,8,2,3,2,3,2,4,3
Geastrum Geastrum_mirabile,7,1,1,4,1,1,9,2
Stachybotrys Stachybotrys_microspora,10,0,5,0,0,8,0,3
Xerochrysium Xerochrysium_dermatitidis,8,2,0,2,5,3,3,3
Jaapia Jaapia_ochroleuca,7,2,4,2,1,5,2,3
Xenocalonectria Xenocalonectria_serpens,4,3,2,4,3,0,8,2
Microascus Microascus_intricatus,1,4,1,4,8,1,1,6
Talaromyces Talaromyces_subinflatus,4,2,4,1,4,1,2,8
Pulchromyces Pulchromyces_fimicola,9,2,2,3,2,0,3,4
Gongronella Gongronella_butleri,8,4,1,0,6,3,0,3
Inocybe Inocybe_ochracea,5,2,2,1,0,2,11,2
Hygrophorus Hygrophorus_mesotephrus,5,3,3,2,2,2,3,5
Dactylellina Dactylellina_cionopaga,7,0,6,2,2,0,5,3
Fusarium Fusarium_domesticum,5,3,3,1,1,2,6,4
Scedosporium Scedosporium_dehoogii,4,0,1,1,1,1,11,6
Subramaniula Subramaniula_obscura,0,7,3,2,8,1,0,3
Acremonium Acremonium_hennebertii,8,1,0,2,0,0,7,5
Chaetomium Chaetomium_acropullum,1,5,0,1,6,4,1,5
Beauveria unidentified,3,4,1,5,3,2,2,3
Acremonium Acremonium_furcatum,8,2,3,1,0,2,5,2
Cladosporium Cladosporium_fusiforme,2,0,5,6,0,7,2,0
Hygrocybe Hygrocybe_splendidissima,4,3,4,2,2,1,4,2
Cunninghamella Cunninghamella_homothallica,15,0,4,0,1,0,0,2
Lauriomyces Lauriomyces_bellulus,4,4,0,1,2,3,2,6
Clonostachys Clonostachys_divergens,4,6,3,1,2,0,3,3
Gilkeya Gilkeya_compacta,4,2,1,4,0,3,3,4
Beauveria Beauveria_felina,7,2,2,3,1,2,1,3
Paecilomyces Paecilomyces_divaricatus,2,2,5,2,4,1,1,4
Didymella Didymella_anserina,2,3,5,3,3,1,0,4
Fibroporia Fibroporia_albicans,3,3,2,2,2,3,2,3
Acremonium Acremonium_hyalinulum,6,0,2,0,1,6,1,4
Cladosporium Cladosporium_sphaerospermum,2,1,2,6,0,2,6,1
Trichoderma Trichoderma_harzianum,2,5,2,1,5,1,2,2
Talaromyces Talaromyces_viridulus,3,2,4,2,2,1,3,3
Wardomycopsis unidentified,2,10,0,0,0,0,1,7
Austroplaca Austroplaca_soropelta,4,1,3,1,3,3,3,2
Lachnum Lachnum_hyalopus,2,1,2,4,1,3,3,4
Pseudorobillarda Pseudorobillarda_phragmitis,1,4,0,3,7,1,1,3
Talaromyces Talaromyces_panamensis,2,2,0,2,0,5,4,5
Termitomyces Termitomyces_heimii,1,1,4,1,3,1,5,3
Periconia Periconia_byssoides,6,2,5,0,1,1,0,4
Trebouxia Trebouxia_decolorans,4,3,0,0,0,2,10,0
Athelopsis Athelopsis_lembospora,0,2,1,4,1,9,0,2
Metarhizium Metarhizium_anisopliae,6,4,1,1,3,0,2,2
Mycosphaerella Mycosphaerella_molleriana,3,2,0,1,3,6,3,1
Punctulariopsis Punctulariopsis_subglobispora,0,5,1,0,4,0,5,4
Alboleptonia Alboleptonia_sericella,5,1,0,2,3,0,2,6
Penicillium Penicillium_megasporum,4,1,1,3,2,4,3,1
Conocybe Conocybe_fiorii,1,2,4,2,1,1,1,7
Conlarium unidentified,2,6,0,4,0,2,2,2
Melanocarpus Melanocarpus_albomyces,1,2,3,5,1,3,1,2
Paxillus Paxillus_cuprinus,4,1,0,3,4,3,0,3
Staphylotrichum Staphylotrichum_coccosporum,3,3,2,2,3,2,1,2
Talaromyces Talaromyces_aurantiacus,1,1,1,4,2,2,3,4
Boeremia Boeremia_lycopersici,4,1,4,1,2,1,2,3
Psathyrella Psathyrella_luteopallida,2,6,0,0,3,1,4,2
Saccharomyces Saccharomyces_mikatae,1,3,3,1,2,1,4,2
Ramicandelaber unidentified,0,3,2,0,7,0,0,5
Durianella Durianella_echinulata,1,2,4,3,1,4,1,1
Rhinocladium Rhinocladium_lesnei,2,3,1,2,5,1,2,1
Antrodia Antrodia_heteromorpha,2,0,0,3,2,1,6,3
Phialosimplex Phialosimplex_chlamydosporus,5,0,5,0,0,2,2,3
Trichoderma Trichoderma_afroharzianum,5,2,1,0,2,0,6,1
Pochonia unidentified,5,0,0,4,5,0,1,2
Leiothecium Leiothecium_cristatum,5,1,0,1,1,1,5,3
Geastrum Geastrum_campestre,4,0,4,1,0,1,5,2
Sarocladium Sarocladium_kiliense,1,2,0,2,3,2,4,3
Phomatodes Phomatodes_aubrietiae,0,3,0,0,2,4,7,0
Aureobasidium Aureobasidium_namibiae,3,0,2,1,1,0,5,4
Metacordyceps Metacordyceps_chlamydosporia,1,4,2,1,5,0,1,2
Myrmecridium unidentified,0,0,0,0,0,16,0,0
Lepiota Lepiota_apatelia,1,0,0,3,8,0,0,4
Stagonosporopsis Stagonosporopsis_helianthi,3,1,1,1,3,0,4,3
Afroboletus Afroboletus_luteolus,3,2,0,3,1,1,0,6
Acrocalymma Acrocalymma_walkeri,4,1,2,3,0,1,5,0
Synchaetomella Synchaetomella_acerina,1,0,2,2,3,1,2,4
Penicillium Penicillium_fennelliae,3,0,2,3,1,0,4,2
Holtermannia Holtermannia_corniformis,4,1,2,1,3,2,2,0
Saksenaea Saksenaea_oblongispora,0,1,0,1,5,4,1,3
Jahnula Jahnula_aquatica,4,0,0,3,1,1,5,1
Marchandiomyces Marchandiomyces_corallinus,2,1,1,2,0,2,5,2
Polyschema Polyschema_sclerotigenum,1,3,0,3,2,2,3,1
Psathyrella Psathyrella_magnispora,1,2,2,2,2,2,1,3
Costatisporus Costatisporus_cyanescens,1,2,5,1,0,2,2,2
Sistotrema Sistotrema_raduloides,2,1,3,2,2,2,0,2
Hawksworthiomyces Hawksworthiomyces_lignivorus,2,3,0,6,0,3,0,0
Humicola Humicola_phialophoroides,3,0,1,3,1,0,5,1
Chrysosporium Chrysosporium_lobatum,4,1,1,0,1,2,5,0
Candida Candida_parapsilosis,3,1,2,1,0,6,0,1
Gongronella Gongronella_koreana,1,0,1,1,3,1,5,2
Talaromyces Talaromyces_stellenboschiensis,3,1,1,0,1,2,4,2
Ganoderma Ganoderma_destructans,5,1,1,1,1,3,1,1
Bispora Bispora_betulina,2,3,3,1,1,2,2,0
Trichophyton Trichophyton_tonsurans,2,3,1,2,1,0,2,3
Alloconiothyrium Alloconiothyrium_aptrootii,2,2,1,1,1,0,3,4
Trechispora Trechispora_sp,7,0,2,0,0,1,0,4
Cunninghamella Cunninghamella_blakesleeana,1,4,0,2,3,2,0,2
Setophoma Setophoma_sacchari,3,1,1,0,1,4,1,2
Candida Candida_boidinii,2,1,2,1,1,5,1,0
Candida Candida_savonica,0,0,1,1,0,3,0,8
Nodulosphaeria Nodulosphaeria_aconiti,3,0,3,0,0,0,3,4
Colletotrichum Colletotrichum_gigasporum,3,2,1,3,1,2,0,1
Chloridium unidentified,2,1,2,1,0,2,5,0
Leucoagaricus Leucoagaricus_ophthalmus,1,0,2,3,0,4,2,1
Odonticium Odonticium_septocystidia,3,3,2,1,1,0,1,1
Acremonium unidentified,2,0,0,10,0,0,0,0
Cephalotrichum Cephalotrichum_asperulum,2,1,0,3,4,1,0,1
Tomentella Tomentella_sublilacina,2,3,1,1,1,1,2,1
Ramularia Ramularia_beticola,2,1,2,3,0,2,0,2
Arthopyrenia Arthopyrenia_salicis,4,1,0,0,1,2,3,1
Caloplaca Caloplaca_sterilis,4,0,1,2,1,1,2,1
Kazachstania Kazachstania_siamensis,1,1,2,3,1,2,1,1
Phanerochaete Phanerochaete_avellanea,2,1,1,0,4,0,3,1
Didymella Didymella_negriana,4,1,0,2,1,1,2,1
Talaromyces Talaromyces_aculeatus,3,1,0,0,1,0,1,6
Aureobasidium Aureobasidium_pullulans,6,0,4,0,0,0,0,2
Sarcogyne Sarcogyne_hypophaeoides,2,0,3,0,3,1,0,3
Phyllosticta Phyllosticta_carissicola,2,2,0,1,1,1,3,2
Massarina Massarina_eburnea,1,2,0,3,1,1,2,2
Inocybe Inocybe_arthrocystis,1,1,0,1,2,2,2,2
Resinomycena Resinomycena_rhododendri,2,0,1,2,0,1,3,2
Roussoella Roussoella_solani,1,4,1,0,2,1,1,1
Cinereomyces Cinereomyces_lindbladii,0,4,2,1,0,0,2,2
Cytospora Cytospora_punicae,1,4,0,0,4,0,0,2
Gliomastix Gliomastix_tumulicola,2,5,0,2,1,0,0,1
Mortierella unidentified,6,0,1,0,0,1,1,2
Crucellisporiopsis Crucellisporiopsis_marquesiae,1,1,1,1,4,1,2,0
Didymella Didymella_clematidis,1,1,1,1,2,2,1,2
Mastigosporium Mastigosporium_album,2,0,1,2,1,2,2,1
Ascobolus Ascobolus_furfuraceus,1,1,0,0,1,0,7,1
Talaromyces Talaromyces_viridis,0,3,1,1,0,1,3,2
Trichoderma Trichoderma_virens,0,4,0,0,3,1,1,2
Ceratorhiza unidentified,6,2,2,1,0,0,0,0
Nigrospora unidentified,3,0,1,0,0,4,0,3
Leptogium Leptogium_pseudofurfuraceum,2,0,2,0,1,3,1,1
Erythrobasidium Erythrobasidium_hasegawianum,0,1,0,4,3,0,1,1
Phellinus Phellinus_andinus,1,0,2,0,0,1,1,5
Stagonosporopsis Stagonosporopsis_dorenboschii,2,1,2,1,0,0,2,2
Sympodiomycopsis Sympodiomycopsis_paphiopedili,0,0,0,9,1,0,0,0
Wallemia Wallemia_sebi,0,1,1,0,1,1,4,2
Papiliotrema Papiliotrema_flavescens,0,1,1,1,0,3,1,3
Ceratobasidium Ceratobasidium_ramicola,0,0,0,0,0,10,0,0
Conocybe Conocybe_striaepes,1,1,1,0,2,1,3,1
Phyllozyma Phyllozyma_linderae,4,0,1,1,1,1,2,0
Daedalea unidentified,2,2,0,0,1,2,0,3
Colletotrichum Colletotrichum_hymenocallidis,0,1,0,0,0,7,1,1
Cryptosporiopsis unidentified,3,1,2,0,1,0,3,0
Microascus Microascus_croci,4,0,2,1,1,0,1,1
Myxocephala Myxocephala_albida,4,1,3,1,0,1,0,0
Ganoderma Ganoderma_flexipes,0,1,1,0,3,1,0,4
Candida Candida_galli,0,1,2,0,0,1,2,3
Echinoderma Echinoderma_echinaceum,2,5,0,0,1,0,0,1
Lopharia Lopharia_cinerascens,1,1,0,0,2,2,2,1
Blastobotrys Blastobotrys_buckinghamii,1,2,1,0,1,3,1,0
Phlebiopsis Phlebiopsis_crassa,1,1,0,0,0,1,2,4
Trichoderma Trichoderma_yunnanense,3,0,5,0,0,1,0,0
Calcarisporiella unidentified,0,0,1,0,4,1,1,2
Fomitopsis unidentified,4,2,0,1,1,0,0,1
Phaeotheca Phaeotheca_triangularis,2,2,1,1,1,0,1,1
Pseudallescheria Pseudallescheria_ellipsoidea,3,0,0,1,0,1,4,0
Phaeosphaeria Phaeosphaeria_podocarpi,3,0,1,2,2,0,0,1
Zopfiella Zopfiella_marina,2,1,0,2,0,1,1,2
Neoidriella Neoidriella_desertorum,0,1,1,1,3,0,0,3
Alternaria Alternaria_alternata,2,0,0,1,0,2,3,1
Myxotrichum Myxotrichum_deflexum,3,0,2,0,1,1,2,0
Phanerochaete Phanerochaete_sordida,2,0,4,1,0,0,2,0
Volvariella Volvariella_bombycina,0,0,2,1,1,2,2,1
Neurospora Neurospora_crassa,0,0,0,1,1,1,0,6
Colletotrichum Colletotrichum_cliviae,0,2,0,0,0,7,0,0
Geastrum Geastrum_morganii,0,1,1,0,2,0,3,2
Cylindrocarpon unidentified,2,0,3,0,3,0,1,0
Trichoderma Trichoderma_calamagrostidis,2,0,1,2,1,1,1,1
Talaromyces Talaromyces_hachijoensis,2,2,0,0,1,1,2,1
Entoloma Entoloma_fumosobrunneum,1,0,1,2,2,1,2,0
Neolecta Neolecta_vitellina,0,2,1,0,2,1,1,2
Setoseptoria Setoseptoria_phragmitis,1,2,1,2,0,1,2,0
Fusarium Fusarium_zealandicum,0,1,1,2,1,3,0,1
Leucoagaricus Leucoagaricus_subcrystallifer,2,1,0,2,0,0,1,2
Trichoderma Trichoderma_asperellum,3,0,1,0,0,2,1,1
Coprinopsis Coprinopsis_insignis,2,2,0,0,0,0,2,2
Psathyrella Psathyrella_typhae,4,0,0,1,1,0,0,2
Ramicandelaber Ramicandelaber_fabisporus,0,4,0,0,2,0,0,2
Pyrenochaeta Pyrenochaeta_lycopersici,0,2,1,1,0,1,1,2
Sagenomella Sagenomella_keratitidis,0,1,2,2,2,0,1,0
Chaetomium unidentified,1,3,0,0,3,0,0,1
Didymella Didymella_rhei,2,0,1,1,0,0,2,2
Saitozyma Saitozyma_flava,1,0,0,2,1,1,3,0
Sarcoporia Sarcoporia_polyspora,1,1,1,0,0,1,2,2
Setophoma Setophoma_vernoniae,2,0,0,0,3,1,1,1
Fusicolla Fusicolla_acetilerea,2,0,0,0,3,0,0,3
Penicillium Penicillium_sclerotiorum,0,0,0,3,2,0,1,2
Rasamsonia Rasamsonia_composticola,3,1,1,0,1,0,1,1
Lectera Lectera_colletotrichoides,4,0,2,1,0,0,1,0
Trametes Trametes_hirsuta,1,0,0,1,2,0,0,3
Keissleriella Keissleriella_taminensis,1,3,1,0,1,0,1,0
Pyrenochaetopsis Pyrenochaetopsis_leptospora,2,0,0,0,0,4,0,1
Phaeocollybia Phaeocollybia_lilacifolia,0,0,1,2,0,3,0,1
Acremonium Acremonium_spinosum,1,0,0,0,0,1,4,1
Cercospora Cercospora_delaireae,5,0,0,0,0,2,0,0
Cylindrocladiella Cylindrocladiella_pseudocamelliae,1,0,1,0,1,1,3,0
Agaricus Agaricus_deserticola,2,1,1,1,0,1,1,0
Hygrocybe Hygrocybe_turunda,2,0,1,0,0,2,2,0
Microdochium Microdochium_colombiense,3,3,0,0,0,1,0,0
Ctenomyces Ctenomyces_serratus,1,1,0,0,1,2,2,0
Cyphellophora Cyphellophora_reptans,2,0,3,0,0,0,2,0
Peniophora Peniophora_laxitexta,2,1,0,0,0,0,2,2
Sporendonema Sporendonema_purpurascens,0,4,0,1,1,0,1,0
Megalospora Megalospora_lopadioides,0,1,0,0,1,2,2,1
Trichophyton Trichophyton_simii,3,1,0,0,1,2,0,0
Nemania Nemania_primolutea,1,1,1,0,0,3,1,0
Sporendocladia Sporendocladia_bactrospora,2,0,2,1,0,1,0,1
Penicillium Penicillium_lemhiflumine,1,1,0,2,0,1,1,1
Ganoderma Ganoderma_australe,1,1,1,2,1,0,0,1
Basidiodendron unidentified,1,1,1,1,2,1,0,0
Clavariadelphus Clavariadelphus_sachalinensis,0,0,2,2,0,3,0,0
Gymnopilus Gymnopilus_junonius,0,0,3,0,1,1,0,2
Lophodermium Lophodermium_juniperinum,2,0,1,0,1,0,1,2
