Genus,2005L2-85,2005L2-77,2005L2-84,2005L2-82,2005L2-81,2005L2-80,2005L2-83,2005L2-76
Trichophyton,12,6,8,4,6,4,7,11
Wickerhamomyces,4,4,0,0,3,44,1,0
Hymenoscyphus,7,9,11,1,5,4,13,6
Ramaria,9,0,7,10,4,5,13,8
Diaporthe,9,6,6,4,5,3,10,12
Elmerina,4,10,4,13,7,4,3,10
Bacidia,8,8,11,10,4,2,4,7
Derxomyces,9,7,6,8,5,5,7,7
Dactylonectria,12,6,3,3,2,11,9,7
Sarcodon,9,3,5,6,6,8,6,10
Thermoascus,6,1,9,5,4,8,11,8
Volvariella,11,2,6,7,4,4,8,10
Meira,2,1,2,34,3,0,7,3
Beauveria,11,6,6,9,4,5,3,7
Genea,5,8,8,1,6,7,7,6
Ramicandelaber,1,11,6,1,12,2,1,14
Plenodomus,3,5,5,7,10,7,6,5
Volutella,0,0,0,0,0,46,2,0
Filobasidium,1,5,1,8,5,6,12,8
Devriesia,5,5,4,9,4,2,6,8
Parmelinella,8,5,7,4,3,3,5,7
Placopsis,3,6,4,7,8,3,8,3
Phaeocollybia,6,1,7,5,9,8,2,4
Neurospora,5,1,6,1,4,5,8,11
Chrysosporium,6,3,8,2,3,4,12,3
Hannaella,9,5,1,2,2,9,7,5
Trichocoma,11,6,2,1,4,2,7,7
Tomentella,5,7,6,2,4,4,9,2
Stachybotrys,16,3,5,0,1,10,0,4
Cunninghamella,17,4,4,2,4,3,0,5
Thielavia,2,9,2,5,3,6,8,3
Peltula,7,1,5,4,6,3,5,6
Coprinus,8,7,1,1,3,4,1,11
Rhizopogon,2,5,4,6,11,3,1,3
Tyromyces,3,2,7,5,2,6,5,5
Spiromastix,5,6,4,4,4,2,6,4
Conocybe,2,3,5,3,3,2,8,9
Neoascochyta,5,2,6,3,2,5,6,6
Aureobasidium,10,0,6,1,1,0,10,7
Rhodocybe,4,5,4,4,4,4,3,6
Austroplaca,5,3,3,1,4,7,9,2
Subramaniula,2,8,4,3,11,2,1,3
Agaricus,5,3,8,5,2,4,2,4
Ceratocystis,6,7,1,6,2,0,7,4
Mycena,2,5,3,5,4,4,7,2
Fomitopsis,6,5,4,2,4,3,5,3
Paraboeremia,2,8,0,3,3,3,6,6
Vanderwaltozyma,5,3,4,5,2,2,2,8
Rossbeevera,6,2,7,3,2,6,4,1
Frantisekia,4,4,6,1,4,5,4,3
Sowerbyella,4,3,3,3,5,5,4,3
Chlorociboria,5,8,5,3,3,4,1,1
Cordana,5,4,1,1,8,2,6,3
Confertobasidium,6,2,3,2,2,3,9,3
Spencermartinsiella,3,2,3,2,8,2,0,10
Hyphodontia,3,3,5,5,4,4,3,3
Trichoglossum,3,2,5,1,3,3,5,8
Boletus,3,4,4,4,3,1,3,7
Hydropunctaria,5,1,4,2,5,5,3,4
Cordyceps,4,10,3,7,1,1,3,0
Microstroma,6,2,4,3,2,1,6,5
Alternaria,8,0,2,2,2,4,6,5
Inaequalispora,3,7,3,2,3,6,3,1
Quambalaria,4,4,3,3,5,2,3,3
Xerochrysium,9,2,0,2,5,3,3,3
Cyphellophora,9,1,4,0,2,3,4,4
Allophoma,8,2,3,2,3,2,4,3
Marchandiomyces,5,1,3,2,1,4,8,3
Bipolaris,1,4,2,3,4,3,4,6
Xenocalonectria,4,3,2,4,3,0,8,2
Peziza,4,4,0,7,2,2,3,4
Scedosporium,4,0,1,1,1,1,11,7
Jaapia,7,2,4,2,1,5,2,3
Pulchromyces,9,2,2,3,2,0,3,4
Conlarium,6,7,0,4,1,2,3,2
Lepiota,2,2,2,5,8,1,0,5
